sn_name,year_from_name,ra_deg,dec_deg,status,message,task_url,result_url,output_file,n_data_lines
ASASSN-14db,2014,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14db_atlas_forcedphot.txt,
ASASSN-14dd,2014,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-14dd_atlas_forcedphot.txt,
ASASSN-14lv,2014,,,failed,404 Client Error: Not Found for url: https://fallingstar-data.com/forcedphot/queue/3978885/result,https://fallingstar-data.com/forcedphot/queue/3978885/,https://fallingstar-data.com/forcedphot/queue/3978885/result,,
ASASSN-15ho,2015,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/ASASSN-15ho_atlas_forcedphot.txt,
SN2014bz,2014,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2014bz_atlas_forcedphot.txt,
SN2014cr,2014,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2014cr_atlas_forcedphot.txt,
SN2014ey,2014,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2014ey_atlas_forcedphot.txt,
SN2016gwl,2016,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2016gwl_atlas_forcedphot.txt,
SN2016jhr,2016,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2016jhr_atlas_forcedphot.txt,
SN2017hgz,2017,,,failed,404 Client Error: Not Found for url: https://fallingstar-data.com/forcedphot/queue/3978887/result,https://fallingstar-data.com/forcedphot/queue/3978887/,https://fallingstar-data.com/forcedphot/queue/3978887/result,,
SN2018agk,2018,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2018agk_atlas_forcedphot.txt,
SN2018hnq,2018,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2018hnq_atlas_forcedphot.txt,
SN2018oh,2018,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2018oh_atlas_forcedphot.txt,
SN2019fkq,2019,,,failed,404 Client Error: Not Found for url: https://fallingstar-data.com/forcedphot/queue/3978888/result,https://fallingstar-data.com/forcedphot/queue/3978888/,https://fallingstar-data.com/forcedphot/queue/3978888/result,,
SN2021abze,2021,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2021abze_atlas_forcedphot.txt,
SN2021acnt,2021,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2021acnt_atlas_forcedphot.txt,
SN2021adlr,2021,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2021adlr_atlas_forcedphot.txt,
SN2021adxd,2021,,,failed,404 Client Error: Not Found for url: https://fallingstar-data.com/forcedphot/queue/3978890/result,https://fallingstar-data.com/forcedphot/queue/3978890/,https://fallingstar-data.com/forcedphot/queue/3978890/result,,
SN2021aess,2021,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2021aess_atlas_forcedphot.txt,
SN2021agbn,2021,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2021agbn_atlas_forcedphot.txt,
SN2022crr,2022,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2022crr_atlas_forcedphot.txt,
SN2022crv,2022,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2022crv_atlas_forcedphot.txt,
SN2022epu,2022,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/SN2022epu_atlas_forcedphot.txt,
SN2022wsp,2022,,,failed,404 Client Error: Not Found for url: https://fallingstar-data.com/forcedphot/queue/3978892/result,https://fallingstar-data.com/forcedphot/queue/3978892/,https://fallingstar-data.com/forcedphot/queue/3978892/result,,
iPTF14hvh,2014,,,skipped_existing,,,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/ATLAS/raw/iPTF14hvh_atlas_forcedphot.txt,
