sn_name,sn_ra_deg,sn_dec_deg,n_obs,n_programs,min_sep_arcsec,proposal_ids,instruments
SN2006X,185.724958,15.809194,9,2,45.95147789338886,15654;16657,WFC3/UVIS
CSP14ade,84.327667,-75.721389,8,1,0.0004975843417689295,14779,WFC3/UVIS
SN2012bl,305.980333,-48.354806,6,1,0.0017876517932456947,12582,WFC3/UVIS
SN2012fr,53.400417,-36.126111,6,1,62.91925963111482,15654,WFC3/UVIS
SN2008ha,353.719542,18.2265,5,1,4.415557927090853,14668,WFC3/UVIS
ASAS14lw,16.704875,-46.983322,4,1,0.8592000120177955,14779,WFC3/UVIS
CSP14acy,10.619792,-64.764167,4,1,0.06345149278979625,14779,WFC3/UVIS
LSQ15aae,247.565417,5.932981,4,1,0.03162252963159683,14779,WFC3/UVIS
PTF11qnr,341.106042,-0.167222,4,1,16.18328749024408,16287,WFC3/UVIS
PTF13ebh,35.499917,33.270472,4,1,0.0012831969735958844,14779,WFC3/UVIS
PTF14gnl,5.951375,-3.85775,4,1,0.0,14779,WFC3/UVIS
SN2007af,215.587625,-0.393778,4,1,40.74899649305542,16287,WFC3/UVIS
SN2013hh,172.268208,17.235972,4,1,0.0013976033646832305,14779,WFC3/UVIS
SN2015F,114.065667,-69.506389,4,1,0.0005800562503405709,14779,WFC3/UVIS
SNhunt281,226.375292,1.634,4,1,0.001199392070588923,14779,WFC3/UVIS
ASAS14lo,177.971292,18.541389,3,1,2.3000433378447447,14779,WFC3/UVIS
ASAS14lq,344.330875,-20.966878,3,1,0.03920000400855722,14779,WFC3/UVIS
PS15sv,243.298917,1.591972,3,1,0.0014417348888364119,14779,WFC3/UVIS
PTF13duj,318.436583,13.575861,3,1,0.25532249104054366,15166,WFC3/UVIS
PTF14fpg,7.05,7.162083,3,1,0.0011999988005868016,14779,WFC3/UVIS
SN2013fz,65.9435,-51.596194,3,1,18.01241990367502,15166,WFC3/UVIS
SN2013gv,47.488792,19.213667,3,1,0.9022076423225601,14779,WFC3/UVIS
SN2014I,85.5825,-25.544417,3,1,0.0011999879860647737,14779,WFC3/UVIS
SN2014dl,247.442042,8.641833,3,1,0.0016873661042332289,14779,WFC3/UVIS
SN2006mr,50.679333,-37.208139,2,1,18.596750546540928,16569,WFC3/UVIS
CSP12G,135.50975,10.300028,3,0,2.0700918885918504,,WFC3/UVIS
LSQ13aiz,198.811708,-17.965458,3,0,27.690813016135202,,WFC3/UVIS
SN2007nq,14.389875,-1.388611,2,0,0.015000940828158919,,WFC3/UVIS
CSP14abn,209.017458,-43.586083,1,0,25.111370350449754,,WFC3/UVIS
LSQ12fvl,75.2085,-38.653197,1,0,8.754220438706325,,WFC3/UVIS
PTF11pbp,351.981333,8.779167,1,0,17.688824754125584,,WFC3/UVIS
PTF11pra,34.690875,-6.641944,1,0,13.5916193678884,,WFC3/UVIS
