sample_sn,found_in_lowz_Ia,lowz_Ia_matches
ASASSN-13ch,True,asassn-13ch
ASASSN-13cu,True,asassn-13cu
ASASSN-14fa,True,asassn-14fa
CSS121006:232854+085452,True,css121006_232854+085452
CSS121114:090202+101800,True,css121114_090202+101800
LSQ12dbr,True,lsq12dbr
LSQ12fhs,True,lsq12fhs
LSQ12fmx,True,lsq12fmx
LSQ13cmt,True,lsq13cmt
LSQ13crf,True,lsq13crf
OGLE16euo,True,ogle16euo
PS15mt,True,ps15mt
PTF10ops,True,ptf10ops
PTF11qmo,True,ptf11qmo
PTF12iiq,True,ptf12iiq
PTF12jgb,True,ptf12jgb
SN1968I,True,sn1968i
SN1986G,True,sn1986g
SN1991bj,True,sn1991bj
SN1995Y,True,sn1995y
SN1998dh,True,sn1998dh
SN1999ee,True,sn1999ee
SN2000dx,True,sn2000dx
SN2000ey,True,sn2000ey
SN2001da,True,sn2001da
SN2001el,True,sn2001el
SN2002ha,True,sn2002ha
SN2002jg,True,sn2002jg
SN2003ic,True,sn2003ic
SN2004fd,True,sn2004fd
SN2005cf,True,sn2005cf
SN2005dm,True,sn2005dm
SN2006E,True,sn2006e
SN2006cm,True,sn2006cm
SN2007cq,True,sn2007cq
SN2007fb,True,sn2007fb
SN2007fs,True,sn2007fs
SN2008cm,True,sn2008cm
SN2008ee,True,sn2008ee
SN2008ge,True,sn2008ge
SN2009ig,True,sn2009ig
SN2009jr,True,sn2009jr
SN2009mz,True,sn2009mz
SN2009nr,True,sn2009nr
SN2010dl,True,sn2010dl
SN2010ev,True,sn2010ev
SN2010ko,True,sn2010ko
SN2011Z,True,sn2011z
SN2011gf,True,sn2011gf
SN2011ha,True,sn2011ha
SN2011hb,True,sn2011hb
SN2011hk,True,sn2011hk
SN2011io,True,sn2011io
SN2012Z,True,sn2012z
SN2012fk,True,sn2012fk
SN2012fw,True,sn2012fw
SN2013cs,True,sn2013cs
SN2013ex,True,sn2013ex
SN2015H,True,sn2015h
SN2016hnk,True,sn2016hnk
SN2017cbv,True,sn2017cbv
SN2017erp,True,sn2017erp
SN2017fgc,True,sn2017fgc
SN2017fzw,True,sn2017fzw
SN2018gv,True,sn2018gv
SNF20080612-003,True,snf20080612-003
iPTF13dge,True,iptf13dge
iPTF13dkl,True,iptf13dkl
