obs_id,target_name,s_ra,s_dec,instrument_name,filters,proposal_id,proposal_pi,obs_title,t_min,t_max,t_exptime,calib_level,dataproduct_type,sep_arcsec,sn_name,cubename,sn_ra_deg,sn_dec_deg,sn_type,sem,notes
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,94.10049276604472,SN1926A,NGC4303,185.47541666666663,4.493611111111111,II      ,arx  ,
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,43.21800911062447,SN1961I,NGC4303,185.50182916666665,4.470361111111111,II      ,arx  ,
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,68.86778041431111,SN1964F,NGC4303,185.4708333333333,4.474166666666667,II      ,arx  ,
hst_16741_4i_wfc3_uvis_f275w_iepo4i,SN2006DD-HOST,50.67307416667,-37.20949444444,WFC3/UVIS,F275W,16741.0,"Galbany, Lluis",,59815.97168288,59815.99502786,1600.0,3,image,91.81789464196844,SN1981D,SN1981D,50.66,-37.23277777777778,Ia      ,arx  ,THIS NEED TO BE JOINED WITH SN2006dd in NGC1316 -- TO DO -- NO LC           
hst_18103_28_wfc3_uvis_f275w_ifoq28,NGC4501-N,187.9859395833,14.43716944444,WFC3/UVIS,F275W,18103.0,"Thilker, David",,61107.53620784,61107.67290912,2028.0,3,image,39.54737482281712,SN1999cl,NGC4501,187.9833708333333,14.426469444444445,Ia      ,arx  ,THIS NEEDS TO BE COMBINED -- TO DO -- 24 of 32 cubes reduced other 8 have problems
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,33.90645819352338,SN1999gn,NGC4303,185.48757916666665,4.462669444444445,II      ,arx  ,
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,67.36015134174343,SN2006ov,NGC4303,185.4804208333333,4.4879694444444445,II      ,arx  ,
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,0.0249726278979275,SN2014dt,NGC4303,185.4898708333333,4.471811111111111,Ia-02cx ,arx  ,NO LC 
hst_skycell-p1458x13y04_wfc3_uvis_f275w_all,SN2014DT,185.489875,4.471805555556,WFC3/UVIS,F275W,,,,57812.13591229,58937.87605003,3048.0,3,image,111.82672711420736,SN2020jfo,NGC4303,185.4603333333333,4.481680555555556,II      ,arx  ,PHANGS
ifab22060,NGC4457,187.24593,3.570619444444,WFC3/UVIS,F275W,17502.0,"Thilker, David","Resolving gas, star formation and feedback in nearby galaxies with an HST+JWST+ALMA Treasury",60407.69045292824,60407.83055717593,2805.0,3,image,8.589799545804294,SN2020nvb,NGC4457,187.24491666666663,3.572780555555555,Ia      ,arx  ,THERE ARE LOTS OF CUBES UNPUBLISHED -- TO DO --
