SN name,UV mag,UV abs mag,F275W-r,Adopted r survey,Adopted r mag,Adopted r abs mag,Adopted Best survey,Adopted Best,Adopted Best abs mag,Paper plot candidate
SN2013da,19.190 (0.007),-15.953 (0.007),1.594,LegacySurvey,17.596 (0.226),-17.547 (0.226),PanSTARRS,17.527 (0.019),-17.617 (0.019),True
ASASSN-13cu,20.708 (0.021),-14.689 (0.021),2.248,LegacySurvey,18.460 (0.116),-16.937 (0.116),PanSTARRS,18.235 (0.015),-17.161 (0.015),True
ASASSN-14db,21.171 (0.025),-14.934 (0.025),3.010,LegacySurvey,18.161 (0.248),-17.944 (0.248),LegacySurvey,18.161 (0.248),-17.944 (0.248),True
ASASSN-15db,15.486 (0.002),-17.919 (0.002),1.036,LegacySurvey,14.450 (0.063),-18.955 (0.063),PanSTARRS,14.428 (0.014),-18.978 (0.014),True
SN1999ee,18.765 (0.010),-14.697 (0.010),3.000,SkyMapper,15.765 (0.015),-17.697 (0.015),SkyMapper,15.765 (0.015),-17.697 (0.015),True
SN2012ec,15.342 (0.002),-16.183 (0.002),2.303,LegacySurvey,13.039 (0.170),-18.486 (0.170),PanSTARRS,13.032 (0.014),-18.493 (0.014),True
SN2017hgz,18.392 (0.006),-15.857 (0.006),2.508,LegacySurvey,15.885 (0.350),-18.365 (0.350),LegacySurvey,15.885 (0.350),-18.365 (0.350),True
SN2022wsp,16.354 (0.003),-16.152 (0.003),2.561,LegacySurvey,13.792 (0.133),-18.714 (0.133),PanSTARRS,13.769 (0.014),-18.737 (0.014),True
SN2004cs,18.510 (0.008),-15.429 (0.008),1.635,PanSTARRS,16.875 (0.016),-17.064 (0.016),PanSTARRS,16.875 (0.016),-17.064 (0.016),True
SN2005M,(23.826),(-11.334),$<2.859$,PanSTARRS,20.967 (0.055),-14.193 (0.055),PanSTARRS,20.967 (0.055),-14.193 (0.055),True
SN2005lu,20.181 (0.011),-15.577 (0.011),2.492,LegacySurvey,17.689 (0.269),-18.069 (0.269),PanSTARRS,17.837 (0.015),-17.921 (0.015),True
SN2007S,19.136 (0.009),-14.786 (0.009),2.217,LegacySurvey,16.919 (0.162),-17.003 (0.162),PanSTARRS,16.922 (0.014),-17.000 (0.014),True
SN2007st,20.556 (0.020),-14.281 (0.020),4.460,LegacySurvey,16.096 (0.140),-18.742 (0.140),LegacySurvey,16.096 (0.140),-18.742 (0.140),True
SN2008J,19.750 (0.014),-14.485 (0.014),3.589,LegacySurvey,16.162 (0.137),-18.073 (0.137),PanSTARRS,16.163 (0.014),-18.072 (0.014),True
SN2008ae,21.456 (0.036),-14.165 (0.036),1.876,PanSTARRS,19.580 (0.024),-16.040 (0.024),PanSTARRS,19.580 (0.024),-16.040 (0.024),True
SN2009I,22.103 (0.073),-13.205 (0.073),3.312,DES,18.791 (0.015),-16.517 (0.015),DES,18.791 (0.015),-16.517 (0.015),True
SN2009jr,18.861 (0.011),-15.438 (0.011),2.693,PanSTARRS,16.168 (0.014),-18.131 (0.014),PanSTARRS,16.168 (0.014),-18.131 (0.014),True
SN2009le,20.214 (0.017),-14.256 (0.017),2.706,DES,17.508 (0.010),-16.963 (0.010),DES,17.508 (0.010),-16.963 (0.010),True
SN2011ce,16.173 (0.003),-16.707 (0.003),1.905,LegacySurvey,14.268 (0.059),-18.612 (0.059),LegacySurvey,14.268 (0.059),-18.612 (0.059),True
SN2012gm,19.940 (0.020),-14.102 (0.020),2.844,LegacySurvey,17.097 (0.261),-16.946 (0.261),PanSTARRS,17.078 (0.015),-16.965 (0.015),True
